name	tot_cycle	tot_energy	tot_edp	tot_dram_energy	tot_mc_energy
lenet_FF_BP_ReRAM50	1650347.19	83944744.7846	9.82538820359e+13	2230.20838753	2268525.03183
lenet_FF_BP_ReRAM	1772444.73	88375689.4381	1.11092925535e+14	2226.85117928	2369114.60601
lenet_fc1_ReRAM	350868.63	15865928.58	3.94812526563e+12	34432.91871	295506.08676
lenet_FF2_ReRAM	747896.43	31449269.2504	1.66814157436e+13	401.851873059	897479.57636
lenet_FF_ReRAM50	676103.46	29258106.7901	1.40294377545e+13	397.459944465	836942.48318
lenet_BP3_ReRAM	1023449.91	56264363.4922	4.08395445052e+13	1746.37047323	1470070.65937
lenet_pool1_ReRAM	6023.52	271892.055168	1161522859.68	21913.35216	7114.63152
lenet_conv2_ReRAM	258809.73	12782664.3266	2.34629638515e+12	132594.530848	447553.33617
lenet_FF_ReRAM	750791.16	32257892.3476	1.71765534857e+13	272676.069131	899796.73944
